question,question_type,question_format,complexity_of_format,analytical_depth,interdisciplinary_integration,language_and_cues,Overall_difficulty,Focus_area,is_incomplete,theme,keywords,textbooks,focus,is_upsc_scope,year
"95. The world's second tallest statue in sitting
pose of Ramanuja was inaugurated by the
Prime Minister of India at Hyderabad
recently. Which one of the following
statements correctly represents the teachings
of Ramanuja?
(a) The best means of salvation was
devotion.
(b) Vedas are eternal, self-existent and
wholly authoritative.
(c) Logical arguments were essential
means for the highest bliss.
(d) Salvation was to be obtained through
meditation.",Reasoning/Logical Elimination Questions,Single Correct Option Questions,Medium,Medium,Easy,Easy,Medium,"The question assesses analytical ability in the context of Indian philosophy, focusing on the key teachings of Ramanuja related to devotion and salvation.",,Teachings of Ramanuja,"Ramanuja, Vaishnavism, Bhakti, Devotion, Salvation, Philosophy","A History of Indian Philosophy, Religious Thinkers of India, NCERT (Themes in Indian History – Part II)",Conceptual understanding and factual recall regarding the key philosophical tenets of Ramanuja.,TRUE,2022
"96. The Prime Minister recently inaugurated the
new Circuit House near Somnath Temple at
Veraval. Which of the following statements
are correct regarding Somnath Temple ?
1. Somnath Temple is one of the Jyotirlinga
shrines.
2. A description of Somnath Temple was
given by Al-Biruni.
3. Pran Pratishtha of Somnath Temple
(installation of the present day temple)
was done by President S. Radhakrishnan.
Select the correct answer using the code given
below:
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Fact-Based Questions,Statement-based MCQs,Medium,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Somnath Temple, focusing on its significance as a Jyotirlinga shrine, historical accounts by Al-Biruni, and the installation process led by President S. Radhakrishnan.",FALSE,Religious and Cultural History,"Somnath Temple, Jyotirlinga, Al-Biruni, Pran Pratishtha, S. Radhakrishnan","Ancient India by R.S. Sharma, A History of India by Romila Thapar, India's Ancient Past",Factual recall and conceptual understanding regarding historical and cultural aspects of Somnath Temple,TRUE,2022
"97. Which one of the following statements best describes the role of B cells and T cells in the human body ?
(a) They protect the body from environmental allergens.
(b) They alleviate the body's pain and inflammation.
(c) They act as immunosuppressants in the body.
(d) They protect the body from the diseases caused by pathogens.",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of immunology, focusing on the role of B cells and T cells in protecting the body from pathogens.",,Immune System and Adaptive Immunity,"B cells, T cells, immune response, pathogens, adaptive immunity","NCERT Biology, Textbook of Immunology for Medical Students (optional UPSC reference)",factual recall and conceptual understanding of the role of immune cells,TRUE,2022
"98. Consider the following statements :
1. Other than those made by humans, nanoparticles do not exist in nature.
2. Nanoparticles of some metallic oxides are used in the manufacture of some cosmetics.
3. Nanoparticles of some commercial products which enter the environment are unsafe for humans.
Which of the statements given above is/are correct?
(a) 1 only
(b) 3 only
(c) 1 and 2
(d) 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of nanotechnology, focusing on the properties and implications of nanoparticles in both nature and commercial use.",FALSE,Applications and Safety of Nanoparticles,"nanoparticles, metallic oxides, cosmetics, environmental safety, industrial applications","NCERT Science Textbooks, Science and Technology in India","factual recall and application of knowledge regarding the natural occurrence, industrial applications, and environmental safety concerns of nanoparticles",TRUE,2022
"99. Consider the following statements :
DNA Barcoding can be a tool to :
1. assess the age of a plant or animal.
2. distinguish among species that look alike.
3. identify undesirable animal or plant materials in processed foods.
Which of the statements given above is/are correct?
(a) 1 only
(b) 3 only
(c) 1 and 2
(d) 2 and 3",Fact-Based Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses factual recall in the context of DNA Barcoding, focusing on the capabilities of DNA Barcoding to distinguish species and identify materials in food processes.",,DNA barcoding and its applications,"DNA barcoding, species identification, processed foods, molecular identification, species discrimination","NCERT Biology (Class XI and XII), Biotechnology textbooks for UPSC",factual recall,TRUE,2022
"100. Consider the following:
1. Carbon monoxide
2. Nitrogen oxide
3. Ozone
4. Sulphur dioxide
Excess of which of the above in the environment is/are cause(s) of acid rain?
(a) 1, 2 and 3
(b) 2 and 4 only
(c) 4 only
(d) 1, 3 and 4",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of environmental science, focusing on the causes of acid rain.",FALSE,Acid Rain,"acid rain, nitrogen oxide, sulphur dioxide, carbon monoxide, ozone, air pollutants, environmental pollution","Environment and Ecology by Majid Husain, NCERT Biology, Class XI (for environmental issues), Shankar IAS Environment Book",factual recall,TRUE,2022
"1. ""Rapid Financing Instrument"" and ""Rapid Credit Facility"" are related to the provisions of lending by which one of the following?
(a) Asian Development Bank
(b) International Monetary Fund
(c) United Nations Environment Programme Finance Initiative
(d) World Bank",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall within the context of international financial institutions, focusing on the specific lending provisions of the International Monetary Fund.",FALSE,Financial Assistance Mechanisms,"Rapid Financing Instrument, Rapid Credit Facility, lending provisions, International Monetary Fund, IMF","Indian Economy by Ramesh Singh, Global Financial Institutions and the Indian Economy",factual recall,TRUE,2022
"2. With reference to the Indian economy, consider the following statements:
1. An increase in Nominal Effective Exchange Rate (NEER) indicates the appreciation of rupee.
2. An increase in the Real Effective Exchange Rate (REER) indicates an improvement in trade competitiveness.
3. An increasing trend in domestic inflation relative to inflation in other countries is likely to cause an increasing divergence between NEER and REER.
Which of the above statements are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of exchange rates and their implications, focusing on the relationship between NEER, REER, and trade competitiveness.",,Impact of nominal and real effective exchange rate changes on rupee value and trade competitiveness,"NEER, REER, rupee appreciation, trade competitiveness, domestic inflation, international inflation","Indian Economy by Ramesh Singh, Economic Survey of India, Budget Documents","This question assesses both conceptual understanding and factual recall regarding the implications of economic indicators (NEER, REER) on currency valuation and international competitiveness, as well as understanding the impact of inflation differentials.",TRUE,2022
"3. With reference to the Indian economy, consider the following statements :
1. If the inflation is too high, Reserve Bank of India (RBI) is likely to buy government securities.
2. If the rupee is rapidly depreciating, RBI is likely to sell dollars in the market.
3. If interest rates in the USA or European Union were to fall, that is likely to induce RBI to buy dollars.
Which of the statements given above are correct?
(a) 1 and 2 only
(b) 2 and 3 only
(c) 1 and 3 only
(d) 1, 2 and 3",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of monetary policy, focusing on the implications of inflation and currency fluctuations on RBI's actions.",,"Central Bank Policy Interventions in Response to Inflation, Exchange Rate Movements, and Global Interest Rate Changes","RBI, inflation, government securities, rupee depreciation, dollar selling, global interest rates, monetary policy","Indian Economy by Ramesh Singh, Macroeconomics by Mankiw (for general principles)",application of knowledge and analytical ability to assess the consequences of different economic scenarios on central bank actions,TRUE,2022
"4. With reference to the ""G20 Common Framework"", consider the following statements:
1. It is an initiative endorsed by the G20 together with the Paris Club.
2. It is an initiative to support Low Income Countries with unsustainable debt.
Which of the statements given above is/are correct?
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Reasoning/Logical Elimination Questions,Statement-based MCQs,Medium,Medium,Medium,Medium,Medium,"The question assesses analytical ability in the context of international economics, focusing on the G20 Common Framework's purpose and endorsement mechanisms.",FALSE,International Cooperation in Debt Sustainability,"G20 Common Framework, Paris Club, unsustainable debt, Low Income Countries, debt sustainability, G20","India's Foreign Policy: An Introduction by V.P. Dutt, Global Governance and International Organizations by Thomas G. Weiss, The Oxford Handbook of the International Relations of Asia",factual recall,TRUE,2022
